"dependent_variable","specification","term","estimate_fmt","estimate","std.error","statistic","p.value","r_squared","adj_r_squared","aic","bic","n"
"weekly_return_conventional","Univariate: TransactionVolumeUSD","TransactionVolumeUSD","0.0000***",-0.00000000300893818482183,0.000000000708758814398979,-4.24536263069036,0.0000305906185790266,0.0660131088206504,0.062350415129751,-1603.12581364361,-1592.47858538893,257
"weekly_return_conventional","Univariate: PC_network","(Intercept)","0.0001",0.0000613522785367857,0.000684644318332892,0.0896119005064972,0.928665970120213,0.00128289388048389,-0.00263364379057296,-1585.90445990954,-1575.25723165485,257
"weekly_return_conventional","Univariate: PC_network","PC_network","0.0007",0.000707125336312957,0.00123552684388562,0.572326971131692,0.567604707666308,0.00128289388048389,-0.00263364379057296,-1585.90445990954,-1575.25723165485,257
"weekly_market_return","Univariate: UniqueAddresses","(Intercept)","0.0005",0.00048423340847508,0.00439944211562975,0.110067002985392,0.912442809502782,0.0000363433237436048,-0.00388508278086919,-1585.41850559323,-1574.77127733854,257
"weekly_market_return","Univariate: UniqueAddresses","UniqueAddresses","0.0000",-0.000000000699689734105132,0.00000000726800468127902,-0.0962698518765953,0.923381869717208,0.0000363433237436048,-0.00388508278086919,-1585.41850559323,-1574.77127733854,257
"weekly_market_return","Univariate: Transactions","(Intercept)","0.0001",0.0000631580258491415,0.000684873009276708,0.0922185938030212,0.926596771221542,0.00121006429675035,-0.00270675898051742,-1585.72034002233,-1575.07311176765,257
"weekly_market_return","Univariate: Transactions","Transactions","0.0000",0.0000000042398103764378,0.00000000762797389983434,0.555823922854518,0.578818570510309,0.00121006429675035,-0.00270675898051742,-1585.72034002233,-1575.07311176765,257
"weekly_market_return","Univariate: Payments","(Intercept)","0.0001",0.0000658842994708215,0.000684787827491246,0.0962112596425551,0.923428357113173,0.00140785394913978,-0.00250819368243227,-1585.7712385873,-1575.12401033262,257
"weekly_market_return","Univariate: Payments","Payments","0.0000",-0.00000000313772936522815,0.00000000523311963446572,-0.599590604534019,0.549311487151303,0.00140785394913978,-0.00250819368243227,-1585.7712385873,-1575.12401033262,257
"weekly_market_return","Univariate: TransactionVolumeUSD","(Intercept)","0.0001",0.0000567304117987931,0.000662222288150932,0.085666720697663,0.931798581043069,0.0661457689391285,0.0624835954839879,-1602.99694026187,-1592.34971200719,257
"weekly_market_return","Univariate: TransactionVolumeUSD","TransactionVolumeUSD","0.0000***",-0.00000000301292930551004,0.0000000007089365412412,-4.24992806864635,0.0000300142834288281,0.0661457689391285,0.0624835954839879,-1602.99694026187,-1592.34971200719,257
"weekly_market_return","Univariate: PC_network","(Intercept)","0.0001",0.000069813407381043,0.000684855432662289,0.101938896957643,0.918885287447752,0.0013097409874865,-0.00260669140079783,-1585.7459892474,-1575.09876099271,257
"weekly_market_return","Univariate: PC_network","PC_network","0.0007",0.000714715951351012,0.00123590782626452,0.578292277273792,0.563577167497847,0.0013097409874865,-0.00260669140079783,-1585.7459892474,-1575.09876099271,257
