"Coin","Mean","Median","SD","Skewness","Kurtosis"
"CHEEPEPE",-0.0135664898761606,-0.017217898620057,0.131270820530362,1.42980444334362,13.0835116961026
"CHEYENNE",-0.077176838583412,-0.04538987865857,0.209659576845021,-0.670635571910176,4.76734581344977
"CMT",-0.00110983697597049,0,0.0883663823566306,0.182450530546805,24.4237641971918
"CND",-0.00218584832758515,-0.0010802333541476,0.106534568603095,1.85449762190049,31.4580938098835
"CNX",0.00371687848362138,0.000263737823651279,0.234062161691261,8.44649998921897,194.077257410552
"COB",-0.00206309113580484,0,0.101119472740036,-0.235252648222759,19.4544619779389
"CORE",-0.000937640837459338,0,0.274912386345015,2.12557147044537,685.469163584098
"CTR",-0.00564962033457777,-0.00410368682211078,0.0914634310017052,1.63737314734538,25.0641204790311
"CVC",-0.00056755012559947,0.00094732329136145,0.0722136056776053,1.52669250307116,25.0103074677916
"CYRUS",-0.00403852741460969,0,0.208043375213412,0.706239665631963,24.8841212779666
"DAI",-0.00106045015898799,-0.0000210398136476375,0.0099077570759366,-5.5321661456121,61.4479306978327
"DAMOON",-0.00587507157855178,-0.00623688218516761,0.0637220233741258,2.75227297384331,28.3905660954148
"DASH",-0.0013014408232629,0.000442240010750345,0.0534012131399673,-0.11267884552127,13.3655154785532
"DATA",-0.000579488839708846,-0.000546501085446794,0.0757569251549629,3.484074750661,71.7539245640954
"DBC",-0.00162235672770167,-0.00560774164567735,0.0814051423584563,0.380632920668109,7.2384183386994
"DCN",-0.00213040130509996,0,0.215373570100297,-0.101787130010692,9.38140283767849
"DCR",-0.000770467229388953,-0.000928227179928349,0.0545044353869589,0.425228135513482,20.2118680285644
"DENT",-0.00102425637816272,-0.000729138504119829,0.0766682349809588,1.21054428076581,21.8729556037532
"DEXSHARE",-0.00986079929929884,-0.0000477836419448129,0.233336837425042,-20.2977366756419,551.30127700039
"DGB",-0.000748179213049126,-0.00150374060820819,0.0636439692913447,0.236620592539675,10.6163786164131
"DGD",-0.000335721573628737,0.0000496985265959636,0.189911213814787,-0.657504801376811,21.4659346560787
"DNT",-0.000515976500631332,-0.00292448647667203,0.0798243479595317,3.02319911639005,44.5729915093636
"DOGE",0.00139580212523547,-0.000678707769151752,0.0690635851954394,5.01130601336766,105.26883596127
"DOGECAST",-0.00465141416518103,-0.020128959600469,0.1597781730587,-0.118738059532669,2.48525723259828
"DRGN",-0.00144385368212825,-0.00448863761697506,0.089779801587265,0.388199594810143,10.2989169581025
"EDG",-0.00297267036042575,-0.00217935138194486,0.140448723477655,0.16147938716257,22.0419152205386
"ELF",-0.000338549669856624,0.000851794816586172,0.0659826357709795,0.927288133328349,22.9586899250245
"ELIZA",0.0571955819347506,0.00937729971504694,0.248444915822689,0.131869139450892,2.51697312775958
"EMC2",-0.00378394833705612,-0.00192591130799825,0.0848020300388292,-2.5283697162871,42.9949551990489
"ENG",-0.00318006064662577,-0.00186442083168356,0.150781284289177,-1.92438578117672,33.9796631772972
"ENJ",0.0000629278709238432,-0.0000847936126754846,0.0702798651135768,1.03963063893353,20.8474002680935
"EOS",-0.000953271309649188,0.000188588040239343,0.0576192356616627,-0.2660936165143,12.76171219568
"ETC",-0.00012200299628852,0.000121803164023069,0.0558140893657388,-0.0485157020921018,12.1602325648322
"ETH",0.000571859573888884,0.000626402256760883,0.0457593652288757,-0.951566418477684,14.4389399661874
"ETHEREUM",-0.0154688546369388,0,0.199865304723314,1.37682620452369,9.95797218445317
"ETN",-0.00130716299658277,-0.00533697754276944,0.0733063364555711,1.11347920847185,14.1915317685281
"ETP",-0.00235613475153846,-0.00249803923956566,0.0802619087086677,0.557927622778635,38.5564102808155
"FCT",-0.00231723775752134,-0.00121416748715725,0.0829361019452596,-1.03675381483141,24.8842268694643
"FUN",-0.00113860031027102,-0.000876816765350014,0.0640719116163873,0.478447399747307,20.5368432883036
"GAME",-0.00260423222359699,-0.00260480495775826,0.11649255327379,0.792487759029026,49.6758055937921
"GAS",-0.000765606609042466,-0.000808353936703698,0.0680252416154825,0.480600272452614,24.7545181876387
"GBYTE",-0.00186444933952773,-0.000764594279298077,0.0758102016409189,0.422042715450105,44.1848394387005
"GNO",0.0000611390409222951,-0.000282856893200885,0.0542223816820121,-0.26904288119115,10.4029642128138
"GNT",-0.0228178659035319,0,0.155787491463182,-2.30780642132662,17.5117181861448
"GOVI",-0.00331865329534618,-0.00371504799938115,0.0593440820057759,1.63451171213248,22.1528130764953
"GXC",-0.000956313790987976,-0.00118290411316655,0.0856421059064274,4.46155047645152,93.4718596307453
"HC",-0.00274831406650427,-0.00221522967416682,0.0694744311184343,-0.719838144886567,26.9708101285305
"HOM",-0.004435079649745,-0.00087442364470427,0.037941893500469,-0.0376198908348446,9.78221465484775
