"Currency","Frequency","Mean","SD","t_Stat","Sharpe","Skewness","Kurtosis","Positive","N"
"BLOCK","Monthly",-9.18722293869354,37.3740858229761,-2.2529591622608,-0.245817997588201,-0.173758929776001,3.85842433318906,44.047619047619,84
"BLOCK","Weekly",-0.568680418931423,24.1569052647038,-0.183861964477016,-0.02354111226997,0.625362850600533,3.35469374251852,49.1803278688525,61
"BNB","Daily",0.173025027274632,5.02974304248912,1.7391760756062,0.0344003711149834,0.29418646010444,23.1893388814169,51.7996870109546,2556
"BNB","Monthly",5.26490440135665,28.5163212641668,1.69214133354855,0.184627755894042,1.63966425437168,11.0361065503147,55.952380952381,84
"BNB","Weekly",1.20833871506546,13.9029474362963,1.662732372548,0.0869124134002595,0.84006364116122,14.186961065305,51.0928961748634,366
"BNT","Daily",-0.0822028976569024,5.62559949988417,-0.738752121398343,-0.0146122911271225,-0.0926324666044037,14.2251532585266,49.491392801252,2556
"BNT","Monthly",-2.50131674298859,33.4697736221082,-0.684944776814036,-0.0747336020622608,0.400642218302582,4.73399932773431,39.2857142857143,84
"BNT","Weekly",-0.539443275663014,16.2430918658649,-0.634488150152478,-0.0332106276389818,-0.0408542466506097,7.87170523821519,48.4931506849315,365
"BOMB","Daily",-0.239212338112263,17.6300201091404,-0.611033109543495,-0.0135684665491812,0.566626965838081,25.6019704612093,47.1400394477318,2028
"BOMB","Monthly",-7.13415620134806,71.4325118839402,-0.823571194461286,-0.0998726772052937,-0.842932440949655,9.50386954766085,42.6470588235294,68
"BOMB","Weekly",-27.5509047724212,35.2621042269207,-1.10495003174149,-0.781317660316697,NA,NA,0,2
"BRD","Daily",-0.247741106499815,19.064558078977,-0.656979404303684,-0.0129948517806456,3.9794096714863,84.3290575457817,50.3912363067293,2556
"BRD","Monthly",-7.53840795492295,74.5088889559778,-0.927280638778607,-0.101174612325475,-0.354863717184379,14.1543242702092,40.4761904761905,84
"BRD","Weekly",0.666737616197528,25.9657754577363,0.283617860234033,0.0256775545672709,2.78050425579002,23.9243557428354,51.6393442622951,122
"BTC","Daily",0.0752322806831384,3.56667344642806,1.06640286698849,0.0210931227131214,-0.97952602125624,17.0556662816735,51.3693270735524,2556
"BTC","Monthly",2.28921082650121,20.0216367238969,1.04791451756122,0.114336847584939,-0.152448371657106,2.8734161318615,52.3809523809524,84
"BTC","Weekly",0.525392648705196,9.76360430836384,1.02947158561354,0.053811341806952,-0.702315366861729,6.5449819275277,53.8251366120219,366
"BTCD","Daily",5.5973543065691,89.2406731721355,0.942918550861953,0.0627220090078479,14.8563851347182,222.523717017284,16.8141592920354,226
"BTCD","Monthly",140.555785920512,453.068128755488,0.930693048128977,0.310231016042992,2.46258975834023,7.09158396675366,22.2222222222222,9
"BTCD","Weekly",211.645968745539,555.7910016414,0.932769022910699,0.380801359000941,1.77862565201581,4.18246053591695,16.6666666666667,6
"BTG","Daily",-0.132055079514726,5.92890737651835,-1.12605828457373,-0.0222730886364889,0.846747778347021,22.3940719546654,47.887323943662,2556
"BTG","Monthly",-4.01824741951951,37.2755102314766,-0.987990390830912,-0.107798589330278,-0.0803779989751197,4.20195782653218,44.047619047619,84
"BTG","Weekly",-0.922220719233984,16.4863241426298,-1.07016707059825,-0.0559385288834238,0.607276462414134,8.77394813187193,45.0819672131148,366
