"week","market_cap_BTC","market_cap_ETH","market_cap_XRP","market_cap_DOGE","market_cap_SHIB"
2022-08-07,561444517163161,31778607785546.2,223119713.143893,32507576.4712651,4552.17574569744
2022-08-14,584091643217643,28913702456097.2,286306461.394635,37363802.7946422,9693.75688575234
2022-08-21,603591616057721,27025318443931.6,308794355.382288,24219508.8322809,5246.99958559086
2022-08-28,468296111861075,14816486396692.2,156113913.371558,18627854.0353901,2631.86804109142
2022-09-04,800309758034292,23323203747668.6,304528676.556155,26759047.8935533,8456.61971269475
2022-09-11,502332937688367,15870415889047.3,611346790.829633,13039472.4633732,2300.93466938602
2022-09-18,495196099113547,15945359181232.8,1716836833.97161,61307104.6183974,7849.65797630904
2022-09-25,361513503001294,8168870537098.86,733597304.606734,21091842.4506709,1900.89039084673
2022-10-02,319158350574030,7636054385938.55,915839158.904847,10439267.6674634,1008.42442487621
2022-10-09,308747633163152,8667231374314.87,405622066.319848,10673754.2386488,1733.8959661981
2022-10-16,309337152938722,9430523293564.06,411874320.653809,9517086.70352039,968.6635355295
2022-10-23,840438581299792,35014892566274.6,660833545.260983,1478405741.76053,28823.7529841592
2022-10-30,805465752208593,17919000323659.9,599984604.929506,237260378.941376,6866.359418869
2022-11-06,499233146566040,13763970287741.5,338923779.695702,162209186.249313,2680.72136227928
2022-11-13,269159908865784,7284663831636.86,219818455.338051,20862881.2847344,765.336510070606
2022-11-20,296357206792961,6118919810898.87,243845396.273878,80272839.504301,1237.11419575779
2022-11-27,274214001227992,7052952900522.17,192715114.178701,63100240.1094876,1095.06431073336
2022-12-04,217650969018373,4156905988418.67,128238525.681953,23360946.5560279,522.481428480614
2022-12-11,242917184462488,6032542433782.24,209504039.467156,39280602.9607074,1064.0223413136
2022-12-18,164175251855049,3206923374457.51,79377986.1943517,12816238.3720454,356.270471100504
2022-12-25,185980393977588,3612469945198.41,114612940.513425,20341048.5787045,505.777750723034
2023-01-01,130804480151355,3243123521841.05,115178139.699098,12545218.1817787,979.210221527732
2023-01-08,817399895257683,23950088269606.1,633144750.372204,96148782.6544014,5877.63505151845
2023-01-15,738958052201351,14415047099377.3,418558615.420354,60696585.6764687,5984.0539396611
2023-01-22,338854775361408,9125868006472.11,207731375.502128,56389201.4904774,3841.82087188849
2023-01-29,364893730939229,9741131234979.38,239840734.524057,102664728.405954,25923.5028351172
2023-02-05,357724979391793,7798200521659.34,167695408.091988,20110405.9961919,4191.96214275701
2023-02-12,483595593589841,9290520298928.84,197170352.659196,35385706.0443428,3144.3845065631
2023-02-19,373140260039462,9023528171862.87,208787281.954652,25554385.2209912,2423.48064172058
2023-02-26,249597790387085,6877300304046.08,208072382.653228,19934949.980009,1740.84526259671
2023-03-05,622692084281054,22116312139905,385574749.093919,29903676.9573095,2694.78865192391
2023-03-12,963303084970732,18176491253914.2,324764856.474458,37828259.5843603,3731.19008514212
2023-03-19,367961828810030,11533800605766.2,815061077.273314,21238118.5589294,1518.5376258604
2023-03-26,309011768733206,10078614109170,941891143.284142,78425480.338855,4060.89021671722
2023-04-02,261961824029413,9277753689449,297179498.44303,41348033.6826633,1312.06156324774
2023-04-09,362023622989591,16816042774295.9,348987083.656435,41281986.5714264,2773.25583809243
2023-04-16,365125122291135,13064578220211.7,448248445.072227,31899910.6251895,1155.56603080795
2023-04-23,311865935336004,9156409069086.74,292565263.975076,21929045.4583422,709.755672070063
2023-04-30,459984318586381,18286296222521.5,272179740.874713,26268216.002479,1594.37220539431
2023-05-07,267818593453602,8347678896568.59,165411789.035882,10815752.8570333,774.545643396341
2023-05-14,191125528163190,5373424835842.53,224847462.147704,8513156.5888752,489.281831306316
2023-05-21,212045452759053,5890227136269.13,299846076.416532,11110732.5891726,475.275697810907
2023-05-28,227041132456174,6570975784947.06,355728621.076753,8142727.09431522,540.125110104686
2023-06-04,513739970030523,18905603755413.5,1072355726.07534,60359061.3061286,2817.65417164756
2023-06-11,294010733894653,8420443806160.54,305010917.457501,9579248.12971569,412.065085651975
2023-06-18,371100128140637,9429435662063.29,338142105.05028,18483528.4988216,944.646061614998
2023-06-25,277960009853621,9886128731368.84,349185372.480068,43486661.8522195,978.571965529343
2023-07-02,227478162241318,8019969180756.23,192698296.775522,9794776.07844412,842.3778698732
2023-07-09,242719937204706,8459986196130.17,2403712804.16894,63574943.2678828,1784.05731549569
2023-07-16,234402352272093,7648575559174.04,1200971677.78883,24862866.7617304,603.392902476579
2023-07-23,190284965120179,4697597405462.66,517283973.651155,37414311.3760991,1654.91597253579
2023-07-30,191630593307054,5259166653315.74,717749649.747284,33545046.5680844,8752.01327890554
2023-08-06,182213017392929,4236037559310.67,325873020.57178,23135918.5762414,7137.18370274433
2023-08-13,277440337994515,8132383989991.09,539870827.205458,15720945.1522877,1403.11622045747
2023-08-20,156956322214887,3989409153572.28,283277732.054861,8039668.60932112,707.630166213406
2023-08-27,261284891625151,4818733200067.13,330224249.473516,13207979.2569934,634.027894399233
2023-09-03,141942344323147,3403796047427.43,181259208.577688,6879497.62690999,414.695246952995
2023-09-10,196659252508192,4610631686625.82,258623379.768349,8964695.08584502,460.429290315349
2023-09-17,196812421761334,3349391215399.74,194286034.410599,7210011.06683396,1070.10582929824
2023-09-24,143770620362152,5273003984942.18,280691966.443807,7731046.03911692,460.241389312772
