"week","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD","PC_network"
2011-03-06,2722,974,0,-1041828.28259555,-0.0381131533150843
2011-03-13,3281,673.5,0,-101964.741112131,0.000347871584489567
2011-03-20,3950,-1082,0,149419.075074945,-0.00326870173352657
2011-03-27,2714,-968.5,0,-216063.897531359,-0.0355778486991948
2011-04-03,3069,154,0,-3526.56791810505,-0.0023364381286222
2011-04-10,3603.5,581,0,1343.31546740001,0.00442650173560169
2011-04-17,3784,-60.5,0,66789.3668907501,-0.00229883434847504
2011-04-24,5637,1280.5,0,39330.57044051,0.0238291804592816
2011-05-01,6034,353,0,-46777.293389345,-0.00230178568560979
2011-05-08,6240,-457,0,295900.718866047,0.00670390347710225
2011-05-15,10268,1774,0,201824.493870052,0.0396282835643293
2011-05-22,8881,-351,0,-328915.248805824,-0.0367216893230465
2011-05-29,16869,3958,0,265164.170889738,0.0820181952166429
2011-06-05,22218,3316.5,0,331597.874993188,0.0864935623768861
2011-06-12,23616,-142,0,334419.373342743,0.0147533932416735
2011-06-19,21877,-1063.5,0,1426134.34626912,0.0410821228711994
2011-06-26,29542,-2904,0,-1258491.32321366,-0.0246871599266226
2011-07-03,24071.5,1437.5,0,-1121847.92279714,-0.0936955416953476
2011-07-10,24449,-609.5,0,932965.537034989,0.027448375131571
2011-07-17,19426,-62,0,-695837.939765035,-0.0518075892384174
2011-07-24,21586,-2575,0,1899744.9066206,0.0477146154156828
2011-07-31,16678,843.333333333333,0,-1948983.54404627,-0.083613164776597
2011-08-07,15307.6666666667,1065.66666666667,0,-190328.05988566,-0.0110141434534306
2011-08-14,18706,-616.333333333333,0,-33358.177914545,0.00710164068158948
2011-08-21,17207,-1140.66666666667,0,57726.768528082,-0.0176479839867883
2011-08-28,14528.3333333333,908.333333333333,0,-73809.895834496,-0.0160714573664126
2011-09-04,13770.6666666667,-720.333333333333,0,10678.5617559903,-0.011746003503122
2011-09-11,10988,305.333333333333,0,28316.2110393126,-0.0169028761788072
2011-09-18,15103.3333333333,-1126.33333333333,0,-1997.74483173271,0.00879025239768517
